Simulation	SoftwareName	JaamSim	-
Simulation	SoftwareVersion	2022-07	-
Simulation	ConfigurationFile	C:\Users\dtvut\OneDrive\Desktop\NHH - Course\2nd semester\Project 2\Simulation models\Final\Scenario 9\Sim09 - 30 days - 1 rep - betadist.cfg	-
Simulation	ScenarioNumber	1.0	-
Simulation	ScenarioIndex	{ 1 }	-
Simulation	ReplicationNumber	1.0	-
Simulation	RunNumber	1.0	-
Simulation	RunIndex	{ 1 }	-
Simulation	PresentTimeAndDate	Apr 20, 2023 17:24	-
Simulation	InitializationDuration	0.0	min
Simulation	RunDuration	43200.0	min
Simulation	PresentSimulationTime	0.0	min

this.SimTime/1[min]	this.obj	this.obj.StateTimes("waiting")/1[min]	this.obj.StateTimes("walking")/1[min]	this.obj.TotalTime/1[min]	this.obj.serve/1[min]	this.obj.walk/1[min]	this.obj.type	[Truck_location_6].NumberInProgress	[Truck_location_6].RemainingTime	[Simulation].ScenarioNumber	[Simulation].ReplicationNumber
6522.551264716666	B2_noon_40	35.20715708333333	7.3441076333333335	42.551264716666665	10.104627642871812	7.34410763521693	b24	1.0	{1.3277654333331617[min]}	1.0	1.0
6522.7625941999995	B2_noon_41	33.69260666666666	9.069987533333334	42.762594199999995	8.167418251211252	9.06998753776554	b224	1.0	{1.1164359500001566[min]}	1.0	1.0
7721.597569933333	B2_morning_19	0.0	11.597569933333334	11.597569933333334	7.211168790600544	11.597569928572657	b227	0.0	{}	1.0	1.0
8118.8941761	B2_afternoon_16	12.225570083333333	6.668606016666667	18.8941761	4.437217874576678	6.668606022378997	b219	1.0	{6.461425183333089[min]}	1.0	1.0
10845.962672833331	B2_noon_64	38.92537813333333	7.0372947	45.962672833333336	7.000032477050766	7.037294697997298	b21	1.0	{1.0715558166684815[min]}	1.0	1.0
10846.246452416666	B2_noon_59	39.08683081666666	7.1596215999999995	46.24645241666666	6.593925994807887	7.15962159395987	b214	1.0	{0.7877762333345676[min]}	1.0	1.0
10998.478560366666	B2_afternoon_21	11.86589295	6.612667416666667	18.478560366666667	4.908772208462755	6.612667424768698	b26	1.0	{1.8412109833333499[min]}	1.0	1.0
12281.645386566666	B2_noon_77	30.7917858	10.853600766666666	41.64538656666666	7.501012648051171	10.853600773339762	b211	1.0	{7.473747600000357[min]}	1.0	1.0
12286.758946883334	B2_noon_71	41.2311195	5.527827383333333	46.75894688333333	7.713225745230399	5.527827378109312	b218	1.0	{2.3601872833333193[min]}	1.0	1.0
12438.1877892	B2_afternoon_26	12.227173899999999	5.9606153	18.187789199999997	5.851595515286504	5.960615295198874	b220	1.0	{1.193131949998831[min]}	1.0	1.0
13720.454388333334	B2_noon_81	32.0397697	8.414618633333333	40.454388333333334	11.130993044044954	8.414618631180932	b218	1.0	{1.3382077666653194[min]}	1.0	1.0
15310.256735433333	B2_afternoon_30	2.3509930833333335	7.90574235	10.256735433333334	11.837522201990142	7.905742354746866	b22	1.0	{4.348246433333249[min]}	1.0	1.0
16361.665098416666	B2_morning_32	3.6009903	8.064108116666667	11.665098416666666	10.270793464194352	8.064108117482611	b228	1.0	{1.2064696499995837[min]}	1.0	1.0
16606.90429535	B2_noon_96	39.14185741666667	7.762437933333333	46.90429535	5.333266713160733	7.762437938818825	b22	1.0	{0.5330818499990395[min]}	1.0	1.0
17801.350468183333	B2_morning_33	2.4968445166666666	8.853623666666666	11.350468183333334	9.795908138877685	8.853623672466389	b24	1.0	{0.6759890666667587[min]}	1.0	1.0
19484.417340666663	B2_noon_107	36.5429027	7.874437966666666	44.41734066666666	7.7082213871174625	7.874437958711075	b28	1.0	{2.2737907666666453[min]}	1.0	1.0
19636.555241749997	B2_afternoon_36	8.942315933333333	7.612925816666666	16.55524175	5.83183243162738	7.6129258146414855	b225	1.0	{2.234747633335627[min]}	1.0	1.0
22359.0088792	B2_noon_119	30.613042	8.395837199999999	39.0088792	12.595283616983941	8.395837193005265	b225	1.0	{5.656502399996976[min]}	1.0	1.0
23560.74394198333	B2_morning_41	0.2652911833333333	10.478650799999999	10.743941983333334	8.777407196184333	10.47865080763982	b28	1.0	{6.180661733335074[min]}	1.0	1.0
35080.48051235	B2_morning_57	0.1509344333333333	10.329577916666667	10.48051235	9.189909740699045	10.329577910376115	b27	1.0	{1.60825451666359[min]}	1.0	1.0
38351.788133216665	B2_afternoon_57	0.0	11.788133216666665	11.788133216666665	8.810507363267453	11.788133218264056	b215	0.0	{}	1.0	1.0
